Location,EventName,Pirelli_Link,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps
Sakhir,Bahrain Grand Prix,https://press.pirelli.com/longest-season-in-formula-1-history-starts-in-bahrain/,4,4,5,4,3,4,3,3,22.0,19.0,C1,C2,C3,5.412,57
Jeddah,Saudi Arabian Grand Prix,https://press.pirelli.com/mid-range-compounds-for-the-saudi-arabian-grand-prix/,2,4,2,4,3,2,3,2,24.0,21.0,C2,C3,C4,6.174,50
Melbourne,Australian Grand Prix,https://press.pirelli.com/pirellis-c5-compound-tyre-makes-its-debut/,2,3,2,4,3,2,3,3,24.0,21.5,C3,C4,C5,5.278,58
Suzuka,Japanese Grand Prix,https://press.pirelli.com/formula-1-comes-to-japan-in-the-springtime/,3,3,4,3,5,2,5,4,25.0,23.0,C1,C2,C3,5.807,53
Shanghai,Chinese Grand Prix,https://press.pirelli.com/starting-from-scratch/,3,2,4,5,4,4,4,3,26.0,22.0,C2,C3,C4,305.066,56
Miami,Miami Grand Prix,https://press.pirelli.com/pirelli-celebrates-the-miami-grand-prix-with-a-special-podium-cap/,3,3,2,5,3,3,3,2,25.0,21.5,C2,C3,C4,5.412,57
Imola,Emilia Romagna Grand Prix,https://press.pirelli.com/formula-1-returns-to-europe-for-an-appointment-with-history/,2,2,3,2,3,3,3,3,25.5,22.0,C3,C4,C5,4.909,63
Monaco,Monaco Grand Prix,https://press.pirelli.com/the-monaco-wheel-spins-round-to-70/,5,1,1,5,1,2,1,5,20.0,19.0,C3,C4,C5,3.337,78
Montréal,Canadian Grand Prix,https://press.pirelli.com/new-track-surface-in-montreal/,5,1,1,5,3,5,1,1,23.5,20.5,C3,C4,C5,4.361,70
Barcelona,Spanish Grand Prix,https://press.pirelli.com/a-hard-challenge-in-barcelona/,3,3,4,3,5,3,5,4,25.5,21.0,C1,C2,C3,4.657,66
Spielberg,Austrian Grand Prix,https://press.pirelli.com/return-of-the-sprint-format-in-austria/,2,3,4,3,3,3,3,3,23.0,20.0,C3,C4,C5,4.318,71
Silverstone,British Grand Prix,https://press.pirelli.com/the-hardest-compounds-for-the-cradle-of-formula-1/,3,4,2,2,5,2,5,4,26.5,23.5,C1,C2,C3,5.891,52
Budapest,Hungarian Grand Prix,https://press.pirelli.com/a-summer-classic-at-the-hungaroring/,4,2,2,4,3,3,3,5,22.0,20.0,C3,C4,C5,4.381,70
Spa-Francorchamps,Belgian Grand Prix,https://press.pirelli.com/a-brand-new-track-surface-at-spa-francorchamps/,4,4,4,3,5,4,5,2,26.0,24.5,C2,C3,C4,7.004,44
Zandvoort,Dutch Grand Prix,https://press.pirelli.com/on-maxs-home-turf/,4,3,3,4,5,3,4,4,25.0,22.5,C1,C2,C3,4.259,72
Monza,Italian Grand Prix,https://press.pirelli.com/in-monza-formula-1-goes-vrooom/,3,4,2,4,3,4,2,1,25.5,23.5,C3,C4,C5,5.793,53
Baku,Azerbaijan Grand Prix,https://press.pirelli.com/on-track-where-the-wind-blows/,5,2,1,5,3,4,1,2,26.5,25.5,C3,C4,C5,6.003,51
Marina Bay,Singapore Grand Prix,https://press.pirelli.com/a-new-fourth-drs-zone-in-singapore/,4,3,3,5,2,5,2,5,22.0,20.0,C3,C4,C5,4.940,62
Austin,United States Grand Prix,https://press.pirelli.com/a-special-cap-for-the-austin-race/,4,3,3,4,4,3,4,4,23.5,22.0,C2,C3,C4,5.513,56
Mexico City,Mexico City Grand Prix,https://press.pirelli.com/in-mexico-an-important-step-for-2025/,3,2,2,5,2,3,2,5,23.0,21.0,C3,C4,C5,4.304,71
São Paulo,São Paulo Grand Prix,https://press.pirelli.com/a-difficult-puzzle-in-interlagos/,3,3,2,5,3,3,3,4,24.0,22.0,C3,C4,C5,4.309,71
Las Vegas,Las Vegas Grand Prix,https://press.pirelli.com/formula-1s-fourth-visit-to-las-vegas/,2,1,2,5,4,3,2,1,28.0,26.0,C3,C4,C5,6.201,50
Lusail,Qatar Grand Prix,https://press.pirelli.com/kerbs-a-key-topic-in-qatar/,3,3,2,4,5,3,5,4,26.0,22.5,C1,C2,C3,5.419,57
Yas Island,Abu Dhabi Grand Prix,https://press.pirelli.com/to-abu-dhabi-for-the-grand-finale/,4,3,3,4,3,4,3,3,22.5,"21.0",C3,C4,C5,5.281,58
